subject,trial,window_index,valence,arousal,dominance,eeg_ch0_mean,eeg_ch0_std,eeg_ch0_skew,eeg_ch0_kurt,eeg_ch0_min,eeg_ch0_max,eeg_ch0_delta_power,eeg_ch0_theta_power,eeg_ch0_alpha_power,eeg_ch0_beta_power,eeg_ch0_gamma_power,eeg_ch1_mean,eeg_ch1_std,eeg_ch1_skew,eeg_ch1_kurt,eeg_ch1_min,eeg_ch1_max,eeg_ch1_delta_power,eeg_ch1_theta_power,eeg_ch1_alpha_power,eeg_ch1_beta_power,eeg_ch1_gamma_power,eeg_ch2_mean,eeg_ch2_std,eeg_ch2_skew,eeg_ch2_kurt,eeg_ch2_min,eeg_ch2_max,eeg_ch2_delta_power,eeg_ch2_theta_power,eeg_ch2_alpha_power,eeg_ch2_beta_power,eeg_ch2_gamma_power,eeg_ch3_mean,eeg_ch3_std,eeg_ch3_skew,eeg_ch3_kurt,eeg_ch3_min,eeg_ch3_max,eeg_ch3_delta_power,eeg_ch3_theta_power,eeg_ch3_alpha_power,eeg_ch3_beta_power,eeg_ch3_gamma_power,eeg_ch4_mean,eeg_ch4_std,eeg_ch4_skew,eeg_ch4_kurt,eeg_ch4_min,eeg_ch4_max,eeg_ch4_delta_power,eeg_ch4_theta_power,eeg_ch4_alpha_power,eeg_ch4_beta_power,eeg_ch4_gamma_power,eeg_ch5_mean,eeg_ch5_std,eeg_ch5_skew,eeg_ch5_kurt,eeg_ch5_min,eeg_ch5_max,eeg_ch5_delta_power,eeg_ch5_theta_power,eeg_ch5_alpha_power,eeg_ch5_beta_power,eeg_ch5_gamma_power,eeg_ch6_mean,eeg_ch6_std,eeg_ch6_skew,eeg_ch6_kurt,eeg_ch6_min,eeg_ch6_max,eeg_ch6_delta_power,eeg_ch6_theta_power,eeg_ch6_alpha_power,eeg_ch6_beta_power,eeg_ch6_gamma_power,eeg_ch7_mean,eeg_ch7_std,eeg_ch7_skew,eeg_ch7_kurt,eeg_ch7_min,eeg_ch7_max,eeg_ch7_delta_power,eeg_ch7_theta_power,eeg_ch7_alpha_power,eeg_ch7_beta_power,eeg_ch7_gamma_power,eeg_ch8_mean,eeg_ch8_std,eeg_ch8_skew,eeg_ch8_kurt,eeg_ch8_min,eeg_ch8_max,eeg_ch8_delta_power,eeg_ch8_theta_power,eeg_ch8_alpha_power,eeg_ch8_beta_power,eeg_ch8_gamma_power,eeg_ch9_mean,eeg_ch9_std,eeg_ch9_skew,eeg_ch9_kurt,eeg_ch9_min,eeg_ch9_max,eeg_ch9_delta_power,eeg_ch9_theta_power,eeg_ch9_alpha_power,eeg_ch9_beta_power,eeg_ch9_gamma_power,eeg_ch10_mean,eeg_ch10_std,eeg_ch10_skew,eeg_ch10_kurt,eeg_ch10_min,eeg_ch10_max,eeg_ch10_delta_power,eeg_ch10_theta_power,eeg_ch10_alpha_power,eeg_ch10_beta_power,eeg_ch10_gamma_power,eeg_ch11_mean,eeg_ch11_std,eeg_ch11_skew,eeg_ch11_kurt,eeg_ch11_min,eeg_ch11_max,eeg_ch11_delta_power,eeg_ch11_theta_power,eeg_ch11_alpha_power,eeg_ch11_beta_power,eeg_ch11_gamma_power,eeg_ch12_mean,eeg_ch12_std,eeg_ch12_skew,eeg_ch12_kurt,eeg_ch12_min,eeg_ch12_max,eeg_ch12_delta_power,eeg_ch12_theta_power,eeg_ch12_alpha_power,eeg_ch12_beta_power,eeg_ch12_gamma_power,eeg_ch13_mean,eeg_ch13_std,eeg_ch13_skew,eeg_ch13_kurt,eeg_ch13_min,eeg_ch13_max,eeg_ch13_delta_power,eeg_ch13_theta_power,eeg_ch13_alpha_power,eeg_ch13_beta_power,eeg_ch13_gamma_power,ecg_ch0_mean,ecg_ch0_std,ecg_ch0_skew,ecg_ch0_kurt,ecg_ch0_min,ecg_ch0_max,ecg_ch0_hr_mean,ecg_ch0_hr_std,ecg_ch0_rmssd,ecg_ch1_mean,ecg_ch1_std,ecg_ch1_skew,ecg_ch1_kurt,ecg_ch1_min,ecg_ch1_max,ecg_ch1_hr_mean,ecg_ch1_hr_std,ecg_ch1_rmssd
1,1,1,4.0,3.0,2.0,4381.414,8.256728,-0.16726476,-0.870919,4362.564,4397.436,0.13834624,0.08866078,0.00816119,0.7501557,0.013693343,4092.0913,9.180693,-0.7079301,0.1542058,4064.1025,4109.231,0.33768135,0.37793228,0.03183084,0.23674525,0.012343056,4136.907,62.85641,-0.71157175,0.26373315,3970.7693,4252.8203,0.44706017,0.4011942,0.036233675,0.10194287,0.009296869,4362.4355,77.01437,-0.5179881,0.062636375,4154.359,4522.564,0.38772738,0.35373896,0.030021364,0.2168222,0.007917714,4250.5005,95.97519,-0.57256764,-0.022667646,4000.0,4435.8975,0.34411404,0.35628456,0.021507526,0.2668184,0.008459635,4388.786,18.311724,-0.6085909,-0.08748245,4341.026,4427.1797,0.26232973,0.56289786,0.047371764,0.11036572,0.012805463,4416.242,59.579548,-0.5193756,-0.01935792,4261.026,4540.5127,0.27248266,0.47015804,0.035099346,0.21391399,0.0060598687,3931.2378,95.97922,-0.7121519,0.0030362606,3647.6924,4108.718,0.32350665,0.33784443,0.019434528,0.30586106,0.010390258,4276.254,72.73752,-0.7382943,-0.008745909,4087.1794,4399.4873,0.42946848,0.4344769,0.028837614,0.09666505,0.0068265246,4208.954,102.26254,-0.62918437,-0.038431883,3929.2307,4391.282,0.3151774,0.34358206,0.018583363,0.31418398,0.0061668144,3920.2002,60.76681,-0.8345506,0.3276081,3753.8462,4032.8206,0.30904126,0.45855418,0.035731863,0.18686275,0.007025049,4416.326,36.745342,-1.0475593,0.70605564,4309.231,4471.795,0.43277454,0.47302324,0.030418353,0.055597197,0.004715546,4239.876,82.740074,-0.750429,0.23267889,4017.9487,4395.8975,0.35469136,0.38487184,0.025759181,0.22475892,0.0071873297,4104.8516,91.16399,-0.596162,0.29564953,3852.3076,4283.077,0.30551356,0.33121538,0.020090727,0.3341136,0.006509002,2038.1992,58.803394,2.8257205,19.705418,1846.0,2431.0,94.23312883435582,0.0,,2050.0234,52.300655,3.8534157,24.394611,1934.0,2443.0,94.8148148148148,0.0,
1,1,2,4.0,3.0,2.0,4382.62,8.89853,-0.10468537,-0.56836534,4361.5386,4403.077,0.095849596,0.1999848,0.0052077523,0.687358,0.010726217,4093.3013,10.19849,-0.25581816,0.1758647,4064.6155,4120.5127,0.18370447,0.5707177,0.025859898,0.20807897,0.010042581,4164.6475,71.9738,-0.123284616,-0.24546194,4003.5898,4334.8716,0.34214467,0.58376795,0.012903134,0.05858222,0.0015456299,4377.2754,83.90406,-0.20745659,-0.24158525,4168.718,4575.385,0.24661827,0.5810223,0.016679421,0.15329364,0.0014307017,4295.838,103.56026,0.04334298,-0.27977324,4051.795,4567.1797,0.22601295,0.5346125,0.012056569,0.2238341,0.002688512,4393.4414,22.394535,0.059959047,-0.2524066,4340.0,4445.1284,0.23062204,0.6660249,0.014913283,0.07827972,0.007736937,4443.9785,68.920006,0.20189862,-0.09019303,4284.1025,4628.205,0.22687516,0.5983619,0.014345704,0.15531698,0.0037219792,3996.4463,103.47497,0.07734272,-0.06687665,3737.4358,4254.359,0.3092287,0.4916065,0.008453851,0.1856129,0.004287419,4329.876,82.02613,0.2161446,-0.08083367,4159.4873,4535.8975,0.37718603,0.551756,0.007969489,0.06015259,0.001956544,4284.6597,114.57359,0.3481091,-0.0006878376,4047.1794,4611.282,0.32420093,0.4156142,0.0065243538,0.2509326,0.0020735946,3967.6685,71.82678,0.2929815,0.278059,3814.8718,4152.3076,0.3898714,0.48975512,0.007582102,0.108335435,0.0031534345,4443.5537,45.524246,0.15178335,-0.13537169,4342.564,4548.718,0.42076474,0.5448988,0.008609399,0.022494772,0.002340111,4331.358,108.051956,0.5223287,0.3993585,4102.564,4636.41,0.49363017,0.33146557,0.0047281836,0.1659617,0.0034449503,4204.5435,118.980125,0.1619739,0.025560617,3909.7437,4515.8975,0.38012466,0.44226295,0.005145926,0.17023368,0.0016401503,2030.6992,73.067444,1.9290581,9.392936,1842.0,2414.0,79.17525773195877,0.0,,2021.3672,60.84989,3.2864559,14.277536,1911.0,2380.0,79.17525773195877,0.0,
1,1,3,4.0,3.0,2.0,4372.0635,19.322947,-0.2904666,-0.8117938,4330.2563,4408.205,0.79796255,0.050630763,0.0066148117,0.14016335,0.0034633384,4080.9097,30.720146,-0.10055682,-0.9194181,4024.1025,4137.436,0.8954315,0.05858859,0.0066815806,0.034125227,0.0037060177,4007.2275,246.57875,-0.23826917,-0.8960035,3555.3845,4429.231,0.9363177,0.04255681,0.0064609684,0.010656725,0.0021778364,4215.8296,279.72836,-0.21336113,-0.85636497,3684.1025,4723.59,0.9233102,0.04558954,0.0056214985,0.022671653,0.0014577351,4115.4087,330.52762,-0.18272631,-0.68868136,3431.282,4737.9487,0.89828986,0.040853128,0.006212298,0.05150086,0.0020069042,4362.532,60.512238,-0.16310477,-0.9533477,4248.205,4462.0513,0.8991201,0.07395977,0.008110934,0.014321001,0.0026906668,4373.3535,187.14511,0.065724455,-0.8842709,4032.3076,4727.1797,0.89308566,0.06871587,0.00650443,0.029064106,0.0014480242,3809.5354,318.12708,-0.20178853,-0.70883894,3124.6155,4372.3076,0.88587904,0.04248972,0.0055139274,0.059630424,0.004500314,4148.6455,273.1358,-0.21507442,-0.895674,3633.3333,4623.077,0.93007326,0.047135003,0.005376777,0.014489678,0.0016206229,4089.507,341.06287,-0.11444718,-0.6600957,3384.6155,4746.154,0.8882326,0.040681496,0.006482394,0.061416972,0.0019176655,3855.068,205.00285,-0.20368586,-0.84002256,3443.5898,4215.385,0.8953818,0.053390183,0.0068312823,0.037861306,0.004510727,4339.7637,148.0125,-0.3354609,-0.9161391,4061.0256,4579.4873,0.93905616,0.043543175,0.0053226044,0.008605093,0.0018396974,4131.334,297.02692,-0.21893734,-0.692929,3519.487,4672.3076,0.9023935,0.04087507,0.0063837105,0.04716703,0.0020492792,3985.5327,337.46173,-0.14338054,-0.6782856,3295.3845,4637.9487,0.88710237,0.040166527,0.00581248,0.062204294,0.003056615,2034.8086,56.45247,2.138373,17.89473,1832.0,2405.0,120.0,0.0,,2036.6914,48.297928,3.702882,24.06156,1916.0,2382.0,119.06976744186046,0.0,
1,1,4,4.0,3.0,2.0,4387.6084,24.816555,0.020644067,-1.5981997,4348.205,4425.641,0.89205486,0.019463219,0.007022621,0.07552743,0.005094662,4100.2607,39.683796,0.1761955,-1.63103,4039.487,4166.154,0.94721246,0.023473332,0.0080713,0.017693218,0.002769749,4265.661,340.1419,0.10136535,-1.8039492,3831.282,4774.359,0.96689963,0.019703789,0.005546316,0.0052789534,0.0015405513,4481.735,376.41373,0.12576915,-1.7484715,3997.4358,5125.641,0.9550156,0.018992636,0.0056491173,0.018314455,0.001222671,4404.9395,455.53918,0.16328062,-1.6450516,3789.2307,5258.4614,0.93701166,0.01812993,0.0070773493,0.03586347,0.0012278929,4397.6562,73.77026,0.21958178,-1.55419,4291.282,4523.077,0.9494929,0.030318819,0.009219983,0.007833699,0.0022517554,4450.9375,222.51227,0.23864135,-1.336121,4105.1284,4872.8203,0.94192845,0.029002436,0.00743362,0.019817311,0.0012338759,4101.2656,450.07944,0.09850277,-1.6934602,3444.6155,4873.846,0.9473627,0.02008063,0.005393643,0.024688764,0.001526071,4412.848,369.22794,0.119005896,-1.7557468,3943.077,5044.615,0.9594929,0.019934058,0.0058036665,0.012308673,0.0015489415,4371.0938,467.66068,0.1767961,-1.6036271,3731.282,5267.1797,0.93128544,0.01911238,0.0070275413,0.040436372,0.0013856876,4010.7573,266.06158,0.1720113,-1.6603583,3642.0513,4438.4614,0.9505876,0.026694153,0.007643504,0.012135323,0.0020351126,4493.4414,197.68738,0.105607904,-1.7995795,4244.1025,4790.2563,0.96743363,0.019024745,0.006282045,0.004669761,0.0015574918,4407.003,404.94492,0.16944708,-1.6608297,3873.8462,5154.8716,0.93674386,0.019040467,0.0069680084,0.035266075,0.001351344,4292.119,488.26062,0.13083248,-1.6776855,3600.0,5132.3076,0.94119805,0.015508695,0.006052319,0.03545559,0.0011842848,2030.2109,79.70534,1.7563099,8.471487,1827.0,2413.0,88.78612716763006,0.0,,2034.6211,68.36718,2.6425984,11.082999,1903.0,2409.0,88.78612716763006,0.0,
1,1,5,4.0,3.0,2.0,4372.3877,8.649452,-0.019982385,-0.7281425,4352.8203,4391.795,0.17508718,0.07905296,0.011352825,0.7148493,0.018756013,4082.5442,9.638301,0.34760267,-0.49456573,4064.6155,4108.205,0.36822417,0.34373388,0.025344932,0.24541843,0.014790297,4026.7188,63.722622,0.22860129,-0.77611446,3900.0,4166.6665,0.5759464,0.31980318,0.018294275,0.07907879,0.00388042,4256.927,81.714134,0.14914382,-0.75450873,4087.1794,4442.564,0.5384672,0.27795255,0.012901897,0.16362311,0.0039162864,4147.9326,103.18172,0.094673134,-0.7417612,3909.7437,4378.4614,0.50636506,0.26749343,0.012631551,0.20553286,0.005095313,4359.956,17.484373,0.16071434,-0.56892943,4323.077,4403.077,0.38105828,0.4417118,0.04116391,0.12294301,0.008541673,4380.501,56.980595,0.1993797,-0.5650451,4258.974,4525.641,0.38293216,0.38691407,0.032610297,0.19073775,0.004214044,3819.7275,106.64828,-0.100091234,-0.73904395,3549.7437,4030.7693,0.4267842,0.21316652,0.012479154,0.3356592,0.009292018,4167.5117,76.326355,0.17181835,-0.8085482,4002.0513,4329.231,0.6167388,0.29175457,0.017200153,0.067666955,0.0037116567,4109.0547,109.254074,-0.008732329,-0.7128861,3838.4614,4343.59,0.49277344,0.23217769,0.01361782,0.25327936,0.005335134,3852.2153,61.17462,0.046195455,-0.6555965,3709.2307,3992.8206,0.39872175,0.33337674,0.022628615,0.23418096,0.00847747,4342.2915,35.156727,0.14768475,-0.6126566,4271.795,4421.026,0.53363556,0.39089653,0.027587978,0.0407713,0.0047612553,4137.9688,85.341644,0.04361802,-0.7356787,3938.9744,4327.1797,0.5135572,0.28161812,0.012986153,0.18408169,0.0051961183,4012.688,114.04206,-0.009074997,-0.7522602,3735.3845,4258.974,0.5308757,0.20365722,0.011487382,0.2468262,0.0054260627,2026.0469,57.865658,2.4078758,18.957136,1824.0,2403.0,114.6268656716418,0.0,,2024.4023,50.932617,3.654198,23.208681,1896.0,2387.0,113.77777777777776,0.0,
1,1,6,4.0,3.0,2.0,4374.251,9.039313,-0.056598987,-0.7054529,4352.8203,4393.3335,0.152432,0.14007695,0.011865719,0.67011213,0.024943441,4083.874,10.190657,-0.010615735,-0.53062344,4057.9487,4108.205,0.28657624,0.44630828,0.028135909,0.22398724,0.012800431,4060.8772,63.343025,0.030467981,-0.7828386,3921.0256,4198.974,0.41738585,0.47108677,0.020667356,0.08350257,0.0037303485,4295.9893,79.14906,0.06763112,-0.72354937,4120.0,4464.615,0.38319966,0.41380268,0.016256617,0.18009818,0.0034263886,4196.9033,95.17393,0.11909321,-0.65396404,3985.641,4411.795,0.33008093,0.41449967,0.010740529,0.2372342,0.004510778,4355.509,20.865656,0.05878461,-0.8387537,4309.231,4401.026,0.31845284,0.5644674,0.021590374,0.084184594,0.007108912,4377.396,64.35907,0.19163905,-0.81452084,4252.8203,4518.4614,0.2731286,0.5348938,0.017365603,0.16521007,0.004950072,3858.8262,99.22417,-0.060903244,-0.5035286,3619.487,4070.2563,0.2919037,0.35521373,0.012794266,0.3327718,0.0047318377,4200.673,74.522835,0.09186183,-0.8447368,4042.0513,4359.4873,0.41033223,0.49117804,0.0178974,0.073419034,0.0037300428,4158.097,99.182205,0.09371618,-0.57859945,3936.923,4375.8975,0.28649288,0.39309013,0.011354184,0.300764,0.0048232377,3860.9814,63.033073,0.033357196,-0.5969727,3717.9487,4002.5642,0.30853325,0.4398573,0.018713107,0.22148837,0.0075530075,4352.9487,38.44947,0.016251791,-0.7509937,4272.3076,4431.795,0.46127892,0.47267866,0.026398817,0.032348525,0.0042347647,4183.045,80.226166,0.089031585,-0.53821063,3999.487,4369.231,0.35230896,0.4123187,0.016943058,0.20927702,0.005440105,4088.798,104.58152,-0.096591964,-0.4046626,3827.6924,4325.1284,0.4606139,0.26443288,0.02196635,0.24535252,0.004639291,2023.7656,73.51653,1.7648146,7.889847,1834.0,2372.0,91.97604790419162,0.0,,2011.3906,62.40152,2.5542834,9.578761,1883.0,2320.0,91.42857142857144,0.0,
1,1,7,4.0,3.0,2.0,4378.9146,8.508165,-0.04544226,-0.8476038,4361.026,4398.4614,0.13045464,0.1163829,0.02927148,0.70997673,0.012195822,4090.661,10.016958,0.43935925,0.14745402,4068.718,4120.5127,0.33831507,0.28015554,0.0846484,0.27785912,0.016441595,4145.2,65.64635,0.63169765,0.1766622,4024.6155,4327.1797,0.5757135,0.27699277,0.07913167,0.061944168,0.0047107334,4389.5674,76.6982,0.47476503,-0.08132148,4231.795,4608.205,0.51053816,0.25768918,0.059064027,0.1672726,0.0041766735,4304.5312,95.79722,0.5232643,0.12010455,4104.615,4600.5127,0.48443982,0.22484514,0.058122087,0.22706065,0.0044078636,4367.208,20.009792,0.80290824,0.61145115,4328.205,4429.231,0.46125415,0.3426792,0.1154998,0.067073986,0.009872316,4419.487,61.897526,0.6830686,0.45271778,4293.3335,4620.5127,0.45449898,0.29612035,0.0925099,0.14561151,0.008993432,3973.8062,94.12512,0.33168152,-0.3100345,3784.1025,4210.2563,0.5304828,0.20080273,0.057534248,0.20342027,0.0066745677,4298.658,74.338455,0.5329223,-0.09198499,4164.1025,4499.4873,0.61241835,0.25696516,0.06600659,0.058986593,0.0042581963,4268.9463,101.06993,0.44626138,0.05430174,4054.359,4576.923,0.46329227,0.21045788,0.05950643,0.26124144,0.0045002834,3921.0698,63.466393,0.598839,0.25268745,3787.6924,4097.436,0.49171394,0.2719501,0.09898808,0.12576728,0.009575505,4393.121,39.594925,0.6872754,0.30203128,4326.154,4506.154,0.5773009,0.29750055,0.08713533,0.031401243,0.005189925,4282.536,82.519325,0.47668913,0.027917147,4102.564,4530.2563,0.48409617,0.25431865,0.07283928,0.18224578,0.005098419,4179.7793,97.788956,0.23959994,-0.4382279,3973.8462,4430.2563,0.42220342,0.29344335,0.0754149,0.20450567,0.003361266,2039.1875,55.80738,2.2246637,18.22626,1840.0,2395.0,119.06976744186046,0.0,,2025.1328,48.718315,3.5165584,21.792435,1902.0,2375.0,117.25190839694656,0.0,
1,1,8,4.0,3.0,2.0,4375.0967,8.902832,-0.23432465,-0.6629615,4351.282,4391.282,0.07930122,0.19307238,0.017714093,0.68907565,0.018624727,4085.7812,10.245525,-0.16046521,-0.666718,4062.0513,4107.1797,0.2444797,0.46656787,0.057397235,0.21096534,0.013568582,4103.298,65.02431,-0.18050319,-0.73242855,3961.5386,4262.0513,0.39441887,0.45414254,0.05739397,0.0796143,0.008798854,4333.229,77.09498,-0.13474864,-0.4953146,4158.974,4542.0513,0.34986523,0.39752355,0.048115455,0.18953192,0.009363367,4239.319,91.71852,-0.09491386,-0.32609963,4021.0256,4493.846,0.32870206,0.34707052,0.04176348,0.26482385,0.011786002,4357.456,19.781698,-0.08969361,-0.39240003,4306.6665,4410.2563,0.23347132,0.56133956,0.084646404,0.09656972,0.0148812225,4391.6265,61.604656,-0.039048366,-0.41562533,4240.0,4561.026,0.25458565,0.47769907,0.06721934,0.17999712,0.01280041,3921.1177,92.06741,-0.389449,-0.4011624,3675.8975,4122.564,0.3086014,0.323078,0.04244447,0.31312352,0.008963964,4248.093,72.72556,-0.17213435,-0.6229255,4087.1794,4432.8203,0.36822763,0.47095442,0.06399161,0.083203465,0.007983321,4202.848,97.160515,-0.096108384,-0.3730595,3970.7693,4459.4873,0.30754384,0.31372222,0.0400822,0.3229029,0.010783456,3889.7036,63.682785,-0.14694646,-0.54886127,3726.6667,4048.718,0.2809585,0.43483582,0.07222214,0.19320078,0.011903797,4366.4785,36.622368,-0.12675218,-0.89326286,4290.2563,4447.1797,0.35130623,0.5322664,0.06313389,0.041089777,0.0074497187,4222.8164,81.26945,-0.08200359,-0.35013366,4029.7437,4451.282,0.3504306,0.36320537,0.048015796,0.21806994,0.013801563,4083.2812,90.87081,-0.029264852,-0.43860936,3869.2307,4313.846,0.24313278,0.3771048,0.038052745,0.32819396,0.008872931,2034.3828,79.36847,1.8160384,8.612089,1835.0,2414.0,83.47826086956522,0.0,,2036.3164,67.25521,2.444602,10.275141,1903.0,2396.0,83.02702702702703,0.0,
1,1,9,4.0,3.0,2.0,4376.635,8.967196,0.1660464,-0.22889304,4353.3335,4405.1284,0.11180964,0.11303794,0.02344245,0.7343064,0.016753377,4087.8005,10.140293,0.5978999,0.61608243,4064.6155,4117.436,0.2255396,0.39937705,0.06821733,0.2870523,0.016889736,4125.665,66.37408,0.97758865,1.4245243,3984.1025,4357.436,0.38951108,0.48851383,0.05606557,0.059307836,0.0044145253,4362.396,77.71713,0.8137256,1.137692,4187.1797,4638.974,0.3103266,0.4721958,0.051900383,0.15848033,0.0050714985,4264.1147,94.94343,0.76509976,0.89097285,4064.6155,4602.0513,0.28625622,0.4700866,0.048958067,0.18691482,0.0059912275,4361.0337,19.207031,0.57014406,0.65760684,4319.4873,4423.077,0.17242292,0.6213716,0.09265794,0.09034185,0.017124588,4408.4937,60.0598,0.48131266,0.45233822,4284.1025,4604.615,0.17174836,0.58914053,0.08126654,0.14623232,0.008471551,3947.9607,94.23076,0.5983267,0.24237204,3749.7437,4245.1284,0.2708807,0.4651123,0.041848186,0.2170903,0.0036222977,4267.628,73.00108,0.9570949,1.1960397,4120.5127,4518.4614,0.33868715,0.5330404,0.060406357,0.059494805,0.006088992,4227.424,100.06653,0.68035907,0.623142,4025.641,4574.359,0.24592786,0.47048068,0.04695983,0.2297097,0.0054149437,3904.5513,63.517002,0.8408116,0.9560733,3776.4102,4122.564,0.2558149,0.5275648,0.066798694,0.13791385,0.009015838,4387.1914,37.347973,0.8821062,0.7738862,4318.974,4508.718,0.3230793,0.5875695,0.055516977,0.026109044,0.005856334,4251.6865,87.051445,0.9922394,1.4661846,4084.1025,4577.436,0.32800967,0.47945502,0.053573497,0.13035028,0.0067286864,4083.2212,122.35721,1.1348848,1.648335,3851.282,4517.9487,0.44910967,0.36468184,0.04198481,0.13934329,0.003521815,2026.8203,50.935608,2.0868967,16.048187,1854.0,2354.0,118.15384615384616,0.0,,2015.2656,42.697514,3.7691257,22.870884,1908.0,2310.0,100.3921568627451,0.0,
1,1,10,4.0,3.0,2.0,4377.708,8.18554,-0.113151416,-1.006067,4359.4873,4392.8203,0.012957932,0.12848677,0.01047965,0.83230513,0.014863176,4090.3806,7.6743317,-0.1937374,-0.19888425,4070.2563,4106.6665,0.057432942,0.5234262,0.028122725,0.3683558,0.01832955,4150.4487,45.728043,-0.15392922,-0.5309186,4040.513,4256.41,0.079215184,0.7466837,0.021398773,0.14208087,0.0071131214,4381.7227,57.4337,-0.1497058,-0.479414,4238.974,4516.41,0.05793012,0.59602565,0.013599097,0.32350332,0.006344575,4302.087,72.16687,0.012837666,-0.43107843,4122.0513,4485.641,0.04517745,0.5294139,0.011498734,0.4041948,0.007757641,4364.4873,14.589219,-0.0750374,-0.6215651,4326.154,4395.385,0.036322795,0.74680966,0.035224587,0.16127421,0.013692105,4418.826,47.30306,0.039996684,-0.42534018,4290.2563,4534.8716,0.031182824,0.6435868,0.032745115,0.2790523,0.009812853,3976.5703,68.96923,-0.103454694,-0.553391,3810.7693,4125.641,0.04273405,0.5275659,0.022165842,0.39696637,0.008297328,4295.2363,49.70179,-0.018413845,-0.4006052,4177.436,4418.4614,0.06498417,0.7572431,0.02683538,0.141175,0.006441708,4256.835,74.7385,0.01500026,-0.3912866,4070.7693,4449.7437,0.022606254,0.4870718,0.014639283,0.4671701,0.0066747623,3920.6172,46.1079,-0.11216059,-0.63564205,3813.8462,4021.0256,0.03451417,0.6497827,0.027073026,0.27564162,0.0088518765,4398.9224,26.299393,-0.06495159,-0.7010312,4347.1797,4457.436,0.0513214,0.84815013,0.027486896,0.061854534,0.00764771,4285.717,61.165733,0.055657197,-0.44514108,4140.0,4448.205,0.032184694,0.5794833,0.018128201,0.35697126,0.010534651,4119.287,78.4317,0.21408264,-0.6152098,3962.0513,4310.769,0.101960324,0.5091676,0.032509495,0.349089,0.0055926563,2053.6445,55.41543,2.586613,19.320303,1862.0,2427.0,101.05263157894736,0.0,,2052.9492,47.912205,3.475533,22.216581,1927.0,2391.0,101.72185430463576,0.0,
